"Question","Exam","Truth","GPT4o","Claude37","Gemini20","Grok2-vision","Claude46","Gemini25","Claude4","Gemini31","GPT54","GPT51","GPT54-mini","GPT54-nano","GPT5","Grok41","Grok43","score_GPT4o","score_Claude37","score_Gemini20","score_Grok2-vision","score_Claude46","score_Gemini25","score_Claude4","score_Gemini31","score_GPT54","score_GPT51","score_GPT54-mini","score_GPT54-nano","score_GPT5","score_Grok41","score_Grok43"
12,"CAOS","a","a","a","a","b","b","b","b","b","a","b","a","b","a","b","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1
13,"CAOS","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,"CAOS","a","c","a","c","c","a","a","a","a","a","c","c","a","a","a","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1
15,"CAOS","b","b","b","NA","b","b","b","b","b","b","b","b","b","b","b","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
16,"CAOS","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,"CAOS","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,"CAOS","a","a","a","NA","a","a","a","a","a","a","a","a","a","a","a","a",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
19,"CAOS","b","b","b","NA","b","b","b","b","b","b","b","b","b","b","b","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
20,"CAOS","a","a","a","a","c","a","a","a","a","a","a","a","a","a","c","a",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
21,"CAOS","c","a","c","c","c","a","c","a","c","c","c","a","c","c","c","c",0,1,1,1,0,1,0,1,1,1,0,1,1,1,1
22,"CAOS","a","a","a","NA","a","a","a","a","a","a","a","a","a","a","a","a",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
23,"CAOS","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,"CAOS","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"CAOS","a","a","a","NA","a","a","a","a","a","a","a","a","a","a","a","a",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
26,"CAOS","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,"CAOS","b","b","b","NA","b","b","b","b","b","b","b","b","a","b","b","b",1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
28,"CAOS","b","b","NC","a","a","NC","b","b","b","b","b","b","b","NC","b","b",1,0,0,0,0,1,1,1,1,1,1,1,0,1,1
29,"CAOS","b","b","NC","b","b","NC","b","b","b","b","b","b","NC","NC","b","b",1,0,1,1,0,1,1,1,1,1,1,0,0,1,1
30,"CAOS","b","b","NC","a","b","NC","b","b","b","b","b","b","a","NC","b","b",1,0,0,1,0,1,1,1,1,1,1,0,0,1,1
31,"CAOS","a","a","NC","b","b","NC","b","b","a","a","a","a","a","NC","b","b",1,0,0,0,0,0,0,1,1,1,1,1,0,0,0
32,"CAOS","c","c","c","NA","c","c","c","c","c","c","c","c","c","c","c","c",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
33,"CAOS","b","a","c","c","a","b","c","c","b","NC","a","a","b","b","b","b",0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
34,"CAOS","a","a","c","a","c","a","a","c","a","a","c","a","b","a","b","a",1,0,1,0,1,1,0,1,1,0,1,0,1,0,1
35,"CAOS","b","b","b","NA","c","b","b","a","b","b","b","b","c","b","b","b",1,1,0,0,1,1,0,1,1,1,1,0,1,1,1
36,"CAOS","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,"CAOS","b","b","b","NA","b","b","b","b","b","b","b","b","b","b","b","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
38,"CAOS","a","d","a","a","a","a","d","a","a","a","a","a","a","a","a","a",0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
39,"CAOS","c","c","c","NA","c","c","c","c","c","c","c","c","a","c","c","c",1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
40,"CAOS","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,"ACTM","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"ACTM","b","b","b","b","c","b","b","b","b","b","b","b","b","b","b","b",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
3,"ACTM","d","d","d","c","c","c","d","d","d","d","NC","d","c","d","d","d",1,1,0,0,0,1,1,1,1,0,1,0,1,1,1
4,"ACTM","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,"ACTM","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"ACTM","a","a","a","d","a","a","c","a","a","a","a","a","a","a","a","a",1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
7,"ACTM","d","d","d","d","d","d","b","d","d","c","c","d","d","d","d","d",1,1,1,1,1,0,1,1,0,0,1,1,1,1,1
8,"ACTM","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"ACTM","c","c","NC","NC","NC","c","d","d","d","d","d","d","c","c","c","c",1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
10,"ACTM","a","NC","NC","a","b","a","NC","NC","NC","b","NC","NC","NC","NC","NC","a",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
11,"ACTM","a","NC","NC","a","NC","b","NC","NC","a","a","NC","a","a","NC","b","a",0,0,1,0,0,0,0,1,1,0,1,1,0,0,1
12,"ACTM","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,"ACTM","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,"ACTM","d","d","d","d","d","d","d","d","d","d","d","d","d","NA","d","d",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
15,"ACTM","b","b","b","NA","b","b","b","b","b","b","b","b","b","b","b","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
16,"ACTM","c","NC","c","c","c","c","c","c","c","c","b","b","c","c","c","c",0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
17,"ACTM","b","NC","NC","NA","NC","c","NC","NC","c","c","NC","c","NC","NC","c","c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"ACTM","a","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"ACTM","d","NC","NC","NA","NC","a","NC","NC","NC","a","a","NC","c","NC","NC","b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"ACTM","a","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"ACTM","c","c","c","c","c","c","c","c","c","c","NC","c","c","c","c","c",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
22,"ACTM","d","d","d","d","d","d","d","d","d","d","d","d","d","NA","d","d",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
23,"ACTM","a","NC","NC","a","b","b","NC","NC","NC","b","NC","NC","NC","NC","b","a",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
24,"ACTM","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,"ACTM","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"GE","c","c","a","a","c","c","c","c","c","c","c","c","c","c","c","c",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
10,"GE","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,"GE","c","c","b","NA","c","b","b","b","b","b","b","b","b","b","b","b",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,"GE","d","d","d","d","d","d","d","d","d","d","d","d","d","NA","d","d",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
13,"GE","c","d","d","NC","d","d","d","NC","d","d","d","d","b","NC","d","d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"GE","b","d","d","NC","d","d","a","NC","d","d","d","d","a","NC","d","d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"GE","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,"GE","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
