"Question","Exam","Truth","score_GPT4o","score_Claude37","score_Gemini20","score_Grok2-vision","score_Claude46","score_Gemini25","score_Claude4","score_Gemini31","score_GPT54","score_GPT51","score_GPT54-mini","score_GPT54-nano","score_GPT5","score_Grok41","score_Grok43","Model","Response","Response_clean","score_col","Score"
3,"CAOS","b",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Claude4","c","C","score_Claude4",0
3,"CAOS","b",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Gemini31","c","C","score_Gemini31",0
3,"CAOS","b",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"GPT54","c","C","score_GPT54",0
3,"CAOS","b",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"GPT51","c","C","score_GPT51",0
3,"CAOS","b",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"GPT54-mini","c","C","score_GPT54-mini",0
3,"CAOS","b",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"GPT54-nano","c","C","score_GPT54-nano",0
3,"CAOS","b",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"GPT5","c","C","score_GPT5",0
3,"CAOS","b",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Grok41","c","C","score_Grok41",0
3,"CAOS","b",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Grok43","c","C","score_Grok43",0
4,"CAOS","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT4o","a","A","score_GPT4o",1
4,"CAOS","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Claude37","a","A","score_Claude37",1
4,"CAOS","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Gemini20","a","A","score_Gemini20",1
4,"CAOS","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Grok2-vision","a","A","score_Grok2-vision",1
4,"CAOS","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Claude46","a","A","score_Claude46",1
4,"CAOS","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Gemini25","a","A","score_Gemini25",1
4,"CAOS","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Claude4","a","A","score_Claude4",1
4,"CAOS","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Gemini31","a","A","score_Gemini31",1
4,"CAOS","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT54","a","A","score_GPT54",1
4,"CAOS","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT51","a","A","score_GPT51",1
4,"CAOS","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT54-mini","a","A","score_GPT54-mini",1
4,"CAOS","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT54-nano","a","A","score_GPT54-nano",1
4,"CAOS","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT5","a","A","score_GPT5",1
4,"CAOS","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Grok41","a","A","score_Grok41",1
4,"CAOS","a",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Grok43","a","A","score_Grok43",1
5,"CAOS","d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"GPT4o","NC","NC","score_GPT4o",0
5,"CAOS","d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Claude37","NC","NC","score_Claude37",0
5,"CAOS","d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Gemini20","a","A","score_Gemini20",0
5,"CAOS","d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Grok2-vision","b","B","score_Grok2-vision",0
5,"CAOS","d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Claude46","d","D","score_Claude46",1
5,"CAOS","d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Gemini25","a","A","score_Gemini25",0
5,"CAOS","d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Claude4","NC","NC","score_Claude4",0
5,"CAOS","d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Gemini31","NC","NC","score_Gemini31",0
5,"CAOS","d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"GPT54","b","B","score_GPT54",0
5,"CAOS","d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"GPT51","NC","NC","score_GPT51",0
5,"CAOS","d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"GPT54-mini","b","B","score_GPT54-mini",0
5,"CAOS","d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"GPT54-nano","NC","NC","score_GPT54-nano",0
5,"CAOS","d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"GPT5","NC","NC","score_GPT5",0
5,"CAOS","d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Grok41","b","B","score_Grok41",0
5,"CAOS","d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Grok43","b","B","score_Grok43",0
6,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"GPT4o","b","B","score_GPT4o",0
6,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"Claude37","b","B","score_Claude37",0
6,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"Gemini20","a","A","score_Gemini20",0
6,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"Grok2-vision","b","B","score_Grok2-vision",0
6,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"Claude46","NC","NC","score_Claude46",0
6,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"Gemini25","b","B","score_Gemini25",0
6,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"Claude4","b","B","score_Claude4",0
6,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"Gemini31","c","C","score_Gemini31",1
6,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"GPT54","c","C","score_GPT54",1
6,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"GPT51","c","C","score_GPT51",1
6,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"GPT54-mini","b","B","score_GPT54-mini",0
6,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"GPT54-nano","c","C","score_GPT54-nano",1
6,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"GPT5","NC","NC","score_GPT5",0
6,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"Grok41","b","B","score_Grok41",0
6,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"Grok43","b","B","score_Grok43",0
7,"CAOS","d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"GPT4o","a","A","score_GPT4o",0
7,"CAOS","d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Claude37","a","A","score_Claude37",0
7,"CAOS","d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Gemini20","a","A","score_Gemini20",0
7,"CAOS","d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Grok2-vision","c","C","score_Grok2-vision",0
7,"CAOS","d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Claude46","a","A","score_Claude46",0
7,"CAOS","d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Gemini25","d","D","score_Gemini25",1
7,"CAOS","d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Claude4","a","A","score_Claude4",0
7,"CAOS","d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Gemini31","a","A","score_Gemini31",0
7,"CAOS","d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"GPT54","a","A","score_GPT54",0
7,"CAOS","d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"GPT51","a","A","score_GPT51",0
7,"CAOS","d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"GPT54-mini","a","A","score_GPT54-mini",0
7,"CAOS","d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"GPT54-nano","a","A","score_GPT54-nano",0
7,"CAOS","d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"GPT5","a","A","score_GPT5",0
7,"CAOS","d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Grok41","a","A","score_Grok41",0
7,"CAOS","d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Grok43","a","A","score_Grok43",0
8,"CAOS","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"GPT4o","a","A","score_GPT4o",1
8,"CAOS","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Claude37","a","A","score_Claude37",1
8,"CAOS","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Gemini20","a","A","score_Gemini20",1
8,"CAOS","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Grok2-vision","a","A","score_Grok2-vision",1
8,"CAOS","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Claude46","a","A","score_Claude46",1
8,"CAOS","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Gemini25","a","A","score_Gemini25",1
8,"CAOS","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Claude4","a","A","score_Claude4",1
8,"CAOS","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Gemini31","a","A","score_Gemini31",1
8,"CAOS","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"GPT54","b","B","score_GPT54",0
8,"CAOS","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"GPT51","a","A","score_GPT51",1
8,"CAOS","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"GPT54-mini","a","A","score_GPT54-mini",1
8,"CAOS","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"GPT54-nano","a","A","score_GPT54-nano",1
8,"CAOS","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"GPT5","a","A","score_GPT5",1
8,"CAOS","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Grok41","a","A","score_Grok41",1
8,"CAOS","a",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Grok43","a","A","score_Grok43",1
9,"CAOS","d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"GPT4o","a","A","score_GPT4o",0
9,"CAOS","d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Claude37","a","A","score_Claude37",0
9,"CAOS","d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Gemini20","d","D","score_Gemini20",1
9,"CAOS","d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Grok2-vision","a","A","score_Grok2-vision",0
9,"CAOS","d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Claude46","a","A","score_Claude46",0
9,"CAOS","d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Gemini25","a","A","score_Gemini25",0
9,"CAOS","d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Claude4","a","A","score_Claude4",0
9,"CAOS","d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Gemini31","b","B","score_Gemini31",0
9,"CAOS","d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"GPT54","e","E","score_GPT54",0
9,"CAOS","d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"GPT51","a","A","score_GPT51",0
9,"CAOS","d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"GPT54-mini","e","E","score_GPT54-mini",0
9,"CAOS","d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"GPT54-nano","b","B","score_GPT54-nano",0
9,"CAOS","d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"GPT5","a","A","score_GPT5",0
9,"CAOS","d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Grok41","e","E","score_Grok41",0
9,"CAOS","d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Grok43","b","B","score_Grok43",0
10,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"GPT4o","a","A","score_GPT4o",0
10,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"Claude37","b","B","score_Claude37",0
10,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"Gemini20","a","A","score_Gemini20",0
10,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"Grok2-vision","a","A","score_Grok2-vision",0
10,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"Claude46","b","B","score_Claude46",0
10,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"Gemini25","a","A","score_Gemini25",0
10,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"Claude4","b","B","score_Claude4",0
10,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"Gemini31","c","C","score_Gemini31",1
10,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"GPT54","c","C","score_GPT54",1
10,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"GPT51","c","C","score_GPT51",1
10,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"GPT54-mini","b","B","score_GPT54-mini",0
10,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"GPT54-nano","a","A","score_GPT54-nano",0
10,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"GPT5","c","C","score_GPT5",1
10,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"Grok41","a","A","score_Grok41",0
10,"CAOS","c",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,"Grok43","a","A","score_Grok43",0
11,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT4o","b","B","score_GPT4o",1
11,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Claude37","b","B","score_Claude37",1
11,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Gemini20","b","B","score_Gemini20",1
11,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Grok2-vision","b","B","score_Grok2-vision",1
11,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Claude46","b","B","score_Claude46",1
11,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Gemini25","b","B","score_Gemini25",1
11,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Claude4","b","B","score_Claude4",1
11,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Gemini31","b","B","score_Gemini31",1
11,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT54","b","B","score_GPT54",1
11,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT51","b","B","score_GPT51",1
11,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT54-mini","b","B","score_GPT54-mini",1
11,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT54-nano","b","B","score_GPT54-nano",1
11,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT5","b","B","score_GPT5",1
11,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Grok41","b","B","score_Grok41",1
11,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Grok43","b","B","score_Grok43",1
12,"CAOS","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,"GPT4o","a","A","score_GPT4o",1
12,"CAOS","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,"Claude37","a","A","score_Claude37",1
12,"CAOS","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,"Gemini20","a","A","score_Gemini20",1
12,"CAOS","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,"Grok2-vision","b","B","score_Grok2-vision",0
12,"CAOS","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,"Claude46","b","B","score_Claude46",0
12,"CAOS","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,"Gemini25","b","B","score_Gemini25",0
12,"CAOS","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,"Claude4","b","B","score_Claude4",0
12,"CAOS","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,"Gemini31","b","B","score_Gemini31",0
12,"CAOS","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,"GPT54","a","A","score_GPT54",1
12,"CAOS","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,"GPT51","b","B","score_GPT51",0
12,"CAOS","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,"GPT54-mini","a","A","score_GPT54-mini",1
12,"CAOS","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,"GPT54-nano","b","B","score_GPT54-nano",0
12,"CAOS","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,"GPT5","a","A","score_GPT5",1
12,"CAOS","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,"Grok41","b","B","score_Grok41",0
12,"CAOS","a",1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,"Grok43","a","A","score_Grok43",1
13,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT4o","b","B","score_GPT4o",1
13,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Claude37","b","B","score_Claude37",1
13,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Gemini20","b","B","score_Gemini20",1
13,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Grok2-vision","b","B","score_Grok2-vision",1
13,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Claude46","b","B","score_Claude46",1
13,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Gemini25","b","B","score_Gemini25",1
13,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Claude4","b","B","score_Claude4",1
13,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Gemini31","b","B","score_Gemini31",1
13,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT54","b","B","score_GPT54",1
13,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT51","b","B","score_GPT51",1
13,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT54-mini","b","B","score_GPT54-mini",1
13,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT54-nano","b","B","score_GPT54-nano",1
13,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GPT5","b","B","score_GPT5",1
13,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Grok41","b","B","score_Grok41",1
13,"CAOS","b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Grok43","b","B","score_Grok43",1
14,"CAOS","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"GPT4o","c","C","score_GPT4o",0
14,"CAOS","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"Claude37","a","A","score_Claude37",1
14,"CAOS","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"Gemini20","c","C","score_Gemini20",0
14,"CAOS","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"Grok2-vision","c","C","score_Grok2-vision",0
14,"CAOS","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"Claude46","a","A","score_Claude46",1
14,"CAOS","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"Gemini25","a","A","score_Gemini25",1
14,"CAOS","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"Claude4","a","A","score_Claude4",1
14,"CAOS","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"Gemini31","a","A","score_Gemini31",1
14,"CAOS","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"GPT54","a","A","score_GPT54",1
14,"CAOS","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"GPT51","c","C","score_GPT51",0
14,"CAOS","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"GPT54-mini","c","C","score_GPT54-mini",0
14,"CAOS","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"GPT54-nano","a","A","score_GPT54-nano",1
14,"CAOS","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"GPT5","a","A","score_GPT5",1
14,"CAOS","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"Grok41","a","A","score_Grok41",1
14,"CAOS","a",0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"Grok43","a","A","score_Grok43",1
15,"CAOS","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"GPT4o","b","B","score_GPT4o",1
15,"CAOS","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"Claude37","b","B","score_Claude37",1
15,"CAOS","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"Gemini20","NA","NA_RESP","score_Gemini20",0
15,"CAOS","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"Grok2-vision","b","B","score_Grok2-vision",1
15,"CAOS","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"Claude46","b","B","score_Claude46",1
15,"CAOS","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"Gemini25","b","B","score_Gemini25",1
15,"CAOS","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"Claude4","b","B","score_Claude4",1
15,"CAOS","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"Gemini31","b","B","score_Gemini31",1
15,"CAOS","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"GPT54","b","B","score_GPT54",1
15,"CAOS","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"GPT51","b","B","score_GPT51",1
15,"CAOS","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"GPT54-mini","b","B","score_GPT54-mini",1
15,"CAOS","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"GPT54-nano","b","B","score_GPT54-nano",1
15,"CAOS","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"GPT5","b","B","score_GPT5",1
15,"CAOS","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"Grok41","b","B","score_Grok41",1
15,"CAOS","b",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"Grok43","b","B","score_Grok43",1
